,comment
0,visitado por la tarde demasiado lleno gran lugar conseguir recuerdos precios razonables especialmente vendedores locales lote de efectivo opciones de comida cadena local definitivamente debe detener la visita del lugar
1,Pequeñas tiendas estupendas La gente intenta constantemente conseguir tiendas finge trabajar en un hotel quedarse una persona en realidad se enfada ignora muchos recuerdos miedo regatear
2,"hermosa peatonal, especialmente el sol de la tarde, agradable velada, espectáculos nocturnos, también un buen lugar para comprar artesanías, souvenirs, aunque lejos del centro, mejores precios, innumerables restaurantes agradables, buena comida."
3,"literalmente, horario de compras, varios restaurantes, muchas tiendas, cambiar el nombre, las cosas también toman dos pasos sin que nadie llame, intente conseguir la tienda, el primer día cayó, recuerde, camarero, hotel, una línea, use, intente, consiga la tienda, también, niños pequeños que venden pulseras realmente baratas, temprano, número de personas, bajo, como, número de personas."
4,avenida turística bares de moda centros comerciales tiendas de recuerdos agradable paseo especialmente de noche incluso los comerciantes a largo plazo quieren paz elección ignorar mirar auténtico México gira nada avenida típica orientada hacia los turistas días pasados ​​fin del viaje suficiente
5,divertido caminar por la avenida ver diferentes atracciones restaurantes muchos lugares parar tomar bebidas frías suficientes lugares encontrar recuerdos preparados negociar precios también buscar taxi mejor caminar cuadras de distancia playa obtener precios mucho mejores
6,"Pasé dos horas caminando por una calle peatonal, todavía puedo llegar al hotel de regreso, hay muchas tiendas de souvenirs, tiendas, recorridos, restaurantes, cualquiera que esté interesado personalmente, cualquier cosa, comprar, detenerse a pesar de que muchos vendedores intentan clientes."
7,experiencia especialmente deseo molestado varios comerciantes cada pie golpeado ruidosamente caro debe playa carmen deambular día noche ver lugares de interés fue corriendo a primera hora de la mañana lugar fresco para ver
8,lugar animado playa carmen encontrar tipos tiendas bares restaurantes también tiendas importantes marcas internacionales conocidas pasar largas horas día noche
9,mal momento ir playa cubierto mala experiencia hotel mexico excelente comida servicios atencion personal buena
10,imposible dar pasos sin acercarse a los vendedores th Avenue calle comercial varios opinión larga rápidamente alejarse tiendas cuidado color directo hotel pulsera muñeca pretender camarero día tienda familiar curso estafa precios generales productos de mayor calidad incluso camisas precios vendidos mucho un lugar momento grande maya corto debido olor playa malo sin lugar sería agradable especialmente noche
