indice,estrellas,comentario,pos_tags,noun_phrases,entities,entity_density
13,,Excelente área Excelentes vistas Compras de comida A pasos de distancia Área de caminata segura Obtenga el área de caminata final Mucho personal ofreciendo,"['ADJ', 'NOUN', 'ADJ', 'ADJ', 'PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'ADJ', 'PROPN', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADV', 'ADJ', 'VERB']","['Excelente área Excelentes', 'vistas Compras', 'comida', 'pasos', 'distancia', 'Área', 'caminata segura', 'el área', 'caminata final']","[{'text': 'Excelentes vistas Compras', 'label': 'MISC'}, {'text': 'A pasos de distancia', 'label': 'MISC'}, {'text': 'Área', 'label': 'MISC'}, {'text': 'Obtenga', 'label': 'LOC'}]",0.16666666666666666
131,,lugar excelente comida excelente gente excelentes restaurantes excelentes compras todo lo que puedas desear,"['NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'DET', 'PRON', 'PRON', 'VERB', 'VERB']","['lugar excelente comida excelente', 'gente', 'excelentes restaurantes', 'excelentes compras', 'que']",[],0.0
136,,go go muertos beach well,"['ADP', 'ADP', 'NOUN', 'PROPN', 'PROPN']","['go muertos beach', 'well']",[],0.0
264,,ondas divertidas olas cuidadosas cubrirse nadando,"['NOUN', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'VERB']",['ondas divertidas'],[],0.0
311,,como área rodeada de condominios hoteles inclusive significa personas hoteles,"['SCONJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'ADJ']","['como área rodeada', 'condominios hoteles', 'personas hoteles']",[],0.0
385,,like beach sand good one done,"['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB']",['like beach sand good one'],"[{'text': 'like beach sand good one', 'label': 'MISC'}]",0.16666666666666666
423,,love waves sun sand even vendors like people watching,"['NOUN', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['love', 'waves sun sand even vendors like', 'watching']","[{'text': 'love waves sun sand', 'label': 'MISC'}, {'text': 'vendors like people', 'label': 'MISC'}]",0.2222222222222222
555,,traer lugar relajante favorito,"['VERB', 'NOUN', 'ADJ', 'ADJ']",[],[],0.0
564,,years playa muertos lots still good lost,"['PROPN', 'PROPN', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'ADJ']",['years playa muertos lots still good lost'],"[{'text': 'years', 'label': 'LOC'}]",0.14285714285714285
595,,name playa muertos everyone quite lively muertos happening place middle,"['VERB', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'ADJ', 'PROPN', 'VERB', 'ADJ']","['playa', 'muertos', 'lively muertos']","[{'text': 'name playa muertos', 'label': 'MISC'}]",0.1
675,,hang day umbrella music sip away drinks gay get better,"['VERB', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB']",['day umbrella music sip away drinks gay get'],"[{'text': 'hang day umbrella music', 'label': 'ORG'}]",0.1
712,,gay beach gay want stay play gay like fun good time enjoy also fun safe,"['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN']","['gay beach gay want stay play gay like fun', 'also', 'safe']","[{'text': 'gay beach', 'label': 'LOC'}, {'text': 'want stay', 'label': 'PER'}, {'text': 'time', 'label': 'ORG'}]",0.2
717,,muelle lugar amor mirar nadar océano comer mucha buena comida,"['NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN']","['muelle lugar amor', 'océano', 'mucha buena comida']","[{'text': 'muelle', 'label': 'MISC'}]",0.1
721,,playa muertos restaurante borde playa comer beber disfrutar playa,"['NOUN', 'NOUN', 'ADJ', 'ADJ', 'PROPN', 'VERB', 'VERB', 'VERB', 'NOUN']","['playa muertos', 'playa', 'playa']",[],0.0
727,,keep beach water warm sip drinks umbrella bring towels,"['NOUN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB']","['keep beach water warm sip', 'umbrella', 'bring']","[{'text': 'keep beach water warm sip drinks umbrella bring towels', 'label': 'MISC'}]",0.1111111111111111
728,,excelente comida de playa bebidas disponibles restaurantes gran área disfrutar disfrutar hoteles ofrecen comida bebidas,"['ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'NOUN', 'ADJ']","['excelente comida', 'playa', 'bebidas disponibles', 'restaurantes gran', 'área', 'hoteles', 'comida']",[],0.0
729,,pier goes ocean nice get minutes view nice pier nice see,"['PROPN', 'PROPN', 'VERB', 'NUM', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'PROPN', 'PROPN']","['pier goes', 'get', 'pier', 'nice', 'see']","[{'text': 'pier goes ocean nice', 'label': 'PER'}]",0.09090909090909091
760,,walking around get meet people one friendly must gotten places drinks dinner loved,"['PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'VERB', 'NOUN', 'PROPN', 'VERB', 'ADJ', 'VERB', 'VERB', 'NOUN']","['walking around get meet', 'friendly must', 'loved']","[{'text': 'walking around get meet', 'label': 'MISC'}, {'text': 'one friendly must', 'label': 'MISC'}]",0.15384615384615385
767,,love place lots see,"['PROPN', 'VERB', 'PROPN', 'PROPN']","['love', 'lots']","[{'text': 'love', 'label': 'MISC'}]",0.25
772,,acceso al hotel playa bonita playa snorkeling,"['NOUN', 'ADP', 'NOUN', 'PROPN', 'ADJ', 'NOUN', 'ADJ']","['acceso', 'hotel', 'playa bonita', 'playa']",[],0.0
782,,gran playa parasailing pesca olas altas tiempos,"['ADJ', 'NOUN', 'PROPN', 'NOUN', 'NOUN', 'ADJ', 'NOUN']","['gran playa parasailing', 'altas tiempos']",[],0.0
785,,dont want share one else goes,"['PROPN', 'PROPN', 'PROPN', 'VERB', 'PROPN', 'PROPN']","['dont want', 'goes']","[{'text': 'dont want share one', 'label': 'PER'}]",0.16666666666666666
811,,pier shrimp take,"['PROPN', 'NOUN', 'PROPN']",['pier shrimp take'],"[{'text': 'pier shrimp take', 'label': 'PER'}]",0.3333333333333333
827,,bus get get see beach see beach,"['NOUN', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'PROPN', 'PROPN']","['bus', 'get get see', 'see']","[{'text': 'bus get get', 'label': 'MISC'}]",0.14285714285714285
838,,genial amigable genial,"['ADJ', 'ADJ', 'ADJ']",[],[],0.0
840,,gran lugar bonito lugar pasear bonita playa autobús pequeño,"['ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADJ']","['gran lugar bonito', 'lugar', 'playa', 'autobús']",[],0.0
1207,,get buy nice walk,"['PROPN', 'VERB', 'VERB', 'PROPN']","['get', 'walk']","[{'text': 'get buy nice walk', 'label': 'MISC'}]",0.25
1252,,walking distance hotel walked back shops nice lots vendors even bought oysters street vendors get malecon must see,"['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN']","['walking distance hotel walked back shops nice lots', 'even', 'oysters street', 'vendors get', 'must', 'see']","[{'text': 'walking distance hotel walked back shops', 'label': 'MISC'}, {'text': 'lots vendors', 'label': 'MISC'}, {'text': 'street vendors get malecon', 'label': 'MISC'}]",0.16666666666666666
1385,,super fun place lots beautiful statues live entertainment great places eat spent lot time walking malecon,"['NOUN', 'ADJ', 'VERB', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'PROPN', 'NOUN', 'ADJ', 'AUX', 'PROPN', 'ADP', 'NOUN', 'PROPN', 'ADP']","['super fun', 'lots beautiful statues', 'entertainment great places eat spent', 'time', 'walking']","[{'text': 'super fun', 'label': 'MISC'}, {'text': 'eat spent lot time walking malecon', 'label': 'ORG'}]",0.125
1695,,malecon fun boardwalk enjoy visiting puerto vallarta many cool statues fun entertainment,"['ADP', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADJ', 'AUX', 'PROPN']","['fun boardwalk', 'enjoy visiting puerto vallarta many cool statues fun', 'entertainment']","[{'text': 'malecon fun boardwalk', 'label': 'MISC'}]",0.08333333333333333
1747,,ones sand sculptures human statues see guided sculpture tours recommended chance next visit,"['NOUN', 'ADJ', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'PROPN', 'PROPN', 'PROPN', 'ADJ']","['ones sand', 'human', 'see', 'guided', 'recommended', 'chance next']","[{'text': 'ones sand', 'label': 'PER'}, {'text': 'see guided sculpture', 'label': 'PER'}, {'text': 'tours recommended', 'label': 'MISC'}, {'text': 'next', 'label': 'MISC'}]",0.3076923076923077
