place_name,place_category,rating,review_date,review_text,city_target,
Marina Vallarta,paseo,5,02/01/2024,"Me encantó Marina Vallarta. Tiene mucho ambiente. Además, en general, el tema del ambiente superó lo esperado. Fuimos en plan tranquilo al mediodía. Hay buenos puntos para tomar fotos. Lo volvería a incluir en otro viaje. Fue de esas visitas que te dejan buen sabor de boca.","Puerto Vallarta, Jalisco, México",
Centro Histórico,barrio,3,12/04/2024,"La vuelta por Centro Histórico fue bastante normal. Hay movimiento y opciones, aunque no me sorprendió tanto. Lo mejor fue la relación calidad-precio, pero el tema del tiempo de espera bajó bastante la experiencia. Fuimos en pareja al atardecer. Nos movimos a pie sin complicarnos. Tiene potencial si cuidan algunos detalles. La experiencia depende bastante del momento del día.","Puerto Vallarta, Jalisco, México",
Mercado Municipal Río Cuale,mercado,5,12/09/2023,"Excelente visita a Mercado Municipal Río Cuale. Se encuentran recuerdos bonitos. Además, en general, el tema de la ubicación fue de lo mejor. Fuimos solo al mediodía. La zona alrededor tiene bastante movimiento. Lo recomiendo sin problema. Fue de esas visitas que te dejan buen sabor de boca.","Puerto Vallarta, Jalisco, México",
Paseo en barco por la bahía,tour,5,03/07/2023,"Excelente visita a Paseo en barco por la bahía. No se sintió apresurado. Además, honestamente, el tema de la vista me dejó muy buena impresión. Fuimos en pareja al atardecer. Hay buenos puntos para tomar fotos. Vale mucho la pena. Incluso con gente, se pudo disfrutar bastante.","Puerto Vallarta, Jalisco, México",
Galería del Centro,galería,3,12/09/2024,"La vuelta por Galería del Centro fue bastante normal. Tiene cosas rescatables, aunque no me impresionó. Lo mejor fue el ambiente, pero el tema del tiempo de espera dejó mucho que desear. Fuimos solo al mediodía. En temporada alta imagino que cambia bastante. No me arrepiento de haber ido. Hay detalles que cambian bastante según la hora.","Puerto Vallarta, Jalisco, México",
Parque Lázaro Cárdenas,parque,4,16/07/2025,"Valió la pena conocer Parque Lázaro Cárdenas. Se siente relajado para caminar. Además, para mí, el tema de la tranquilidad me dejó muy buena impresión. Fuimos con niños por la mañana. Conviene ir con tiempo y sin prisa. Lo volvería a incluir en otro viaje. Fue de esas visitas que te dejan buen sabor de boca.","Puerto Vallarta, Jalisco, México",
Malecón de Puerto Vallarta,atracción,2,14/09/2025,"Malecón de Puerto Vallarta no me terminó de convencer. No me dejó nada especial. Encima, el tema de la atención estuvo por debajo de lo esperado. Fuimos en familia un domingo. Nos movimos a pie sin complicarnos. Con varios cambios podría mejorar, pero hoy no lo recomendaría. La fama del lugar me hizo esperar bastante más.","Puerto Vallarta, Jalisco, México",
Resort frente a la playa,hotel,3,16/02/2026,"Mi visita a Resort frente a la playa estuvo bien, sin más. No estuvo mal, aunque esperaba más por el precio. Lo mejor fue el servicio, pero el tema de la saturación de gente bajó bastante la experiencia. Fuimos con amigos un domingo. Fuimos temprano y se disfrutó más. Tiene potencial si cuidan algunos detalles. Con unos ajustes podría mejorar muchísimo.","Puerto Vallarta, Jalisco, México",
Muelle de Los Muertos,atracción,3,30/05/2024,"La experiencia en Muelle de Los Muertos fue regular. No estuvo mal, solo más normal de lo que imaginaba. Lo mejor fue la limpieza, pero el tema del tiempo de espera necesita mejorar. Fuimos solo al mediodía. Nos movimos a pie sin complicarnos. Tiene potencial si cuidan algunos detalles. No fue perfecto, pero sí tuvo momentos rescatables.","Puerto Vallarta, Jalisco, México",
Tour de tacos y mariscos,tour,4,09/08/2025,"Nos gustó bastante Tour de tacos y mariscos. La actividad estuvo muy bien llevada. Además, en general, el tema de la ubicación marcó una diferencia positiva. Fuimos con niños un domingo. Fuimos temprano y se disfrutó más. Me quedé con ganas de repetir. Nos quedamos con ganas de volver con más tiempo.","Puerto Vallarta, Jalisco, México",
Playa Conchas Chinas,playa,5,02/02/2024,"Quedé fascinado con Playa Conchas Chinas. La vista de la bahía se disfruta muchísimo. Además, en general, el tema de la organización me dejó muy buena impresión. Fuimos en familia al mediodía. Nos movimos a pie sin complicarnos. Lo recomiendo sin problema. Incluso con gente, se pudo disfrutar bastante.","Puerto Vallarta, Jalisco, México",
Mismaloya,playa,4,12/08/2025,"Salimos contentos de Mismaloya. La vista de la bahía se disfruta muchísimo. Además, para mí, el tema de la organización estuvo muy bien. Fuimos con amigos al atardecer. Hay buenos puntos para tomar fotos. Sí regresaría. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Zona Romántica,barrio,5,13/09/2023,"Me encantó Zona Romántica. Se siente muy vivo. Además, la verdad, el tema de la atención sumó muchísimo. Fuimos con mis papás en vacaciones. Nos movimos a pie sin complicarnos. Definitivamente volvería. Todo se sintió bastante cómodo.","Puerto Vallarta, Jalisco, México",
Los Arcos de Mismaloya,tour,4,26/10/2023,"Salimos contentos de Los Arcos de Mismaloya. El recorrido estuvo bien armado. Además, la verdad, el tema del servicio fue de lo mejor. Fuimos con mis papás un domingo. Con calor fuerte conviene llevar agua y bloqueador. Me quedé con ganas de repetir. Nos quedamos con ganas de volver con más tiempo.","Puerto Vallarta, Jalisco, México",
Los Arcos de Mismaloya,tour,4,27/10/2025,"Buena visita a Los Arcos de Mismaloya. No se sintió apresurado. Además, la verdad, el tema de la ubicación superó lo esperado. Fuimos en pareja al mediodía. Fuimos temprano y se disfrutó más. Definitivamente volvería. Todo se sintió bastante cómodo.","Puerto Vallarta, Jalisco, México",
Plaza de Armas,plaza,3,27/07/2023,"Mi visita a Plaza de Armas estuvo bien, sin más. La visita fue correcta, sin gran sorpresa. Lo mejor fue la organización, pero el tema del tiempo de espera fue lo más flojo. Fuimos con niños al mediodía. Llegamos al atardecer y la luz ayudó muchísimo. Puede gustarte más si eliges bien la hora. No fue perfecto, pero sí tuvo momentos rescatables.","Puerto Vallarta, Jalisco, México",
Galería del Centro,galería,4,29/12/2025,"Valió la pena conocer Galería del Centro. Fue una parada cultural muy disfrutable. Además, la verdad, el tema de la atención fue de lo mejor. Fuimos en pareja de noche. En temporada alta imagino que cambia bastante. Es una parada muy recomendable. Incluso con gente, se pudo disfrutar bastante.","Puerto Vallarta, Jalisco, México",
Mirador de la Cruz,mirador,5,28/08/2024,"Quedé fascinado con Mirador de la Cruz. Desde arriba se aprecia muy bien la bahía. Además, en general, el tema de la experiencia general fue de lo mejor. Fuimos con amigos entre semana. Llegamos al atardecer y la luz ayudó muchísimo. Lo volvería a incluir en otro viaje. Incluso con gente, se pudo disfrutar bastante.","Puerto Vallarta, Jalisco, México",
Paseo por Marina al atardecer,paseo,5,09/03/2026,"Quedé fascinado con Paseo por Marina al atardecer. Da para regresar varias veces. Además, en general, el tema de la limpieza marcó una diferencia positiva. Fuimos en pareja en vacaciones. Entre semana se siente mucho más llevadero. Vale mucho la pena. Incluso con gente, se pudo disfrutar bastante.","Puerto Vallarta, Jalisco, México",
Tour gastronómico por el centro,tour,4,18/06/2023,"Valió la pena conocer Tour gastronómico por el centro. El guía explicó todo con claridad. Además, en general, el tema de la vista superó lo esperado. Fuimos con amigos un domingo. Conviene ir con tiempo y sin prisa. Lo volvería a incluir en otro viaje. Fue de esas visitas que te dejan buen sabor de boca.","Puerto Vallarta, Jalisco, México",
Playa Mismaloya,playa,1,01/12/2023,"Terminamos molestos con Playa Mismaloya. Me costó disfrutar el rato en la arena. Encima, el tema de la organización bajó bastante la experiencia. Fuimos solo entre semana. La zona alrededor tiene bastante movimiento. Yo me lo saltaría la próxima vez. No sentí que el tiempo invertido valiera la pena.","Puerto Vallarta, Jalisco, México",
Muelle de Los Muertos,atracción,5,18/12/2025,"Me encantó Muelle de Los Muertos. Tiene muchísimo encanto. Además, la verdad, el tema de la vista superó lo esperado. Fuimos con niños un domingo. El clima nos tocó a favor y eso mejoró todo. Es una parada muy recomendable. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Muelle de Los Muertos,atracción,3,22/01/2025,"Pasar por Muelle de Los Muertos tuvo cosas buenas y otras mejorables. Se deja conocer, pero esperaba algo más. Lo mejor fue la atención, pero el tema de los precios bajó bastante la experiencia. Fuimos con niños entre semana. Entre semana se siente mucho más llevadero. Puede gustarte más si eliges bien la hora. Se disfruta más si vas con expectativas realistas.","Puerto Vallarta, Jalisco, México",
Mirador de la Cruz,mirador,1,22/02/2024,"Fue una decepción total visitar Mirador de la Cruz. No me pareció tan disfrutable como pensaba. Encima, el tema del ruido necesita mejorar. Fuimos en pareja al atardecer. Entre semana se siente mucho más llevadero. No sentí que el costo o el tiempo se justificaran. Hay mejores alternativas para aprovechar el día.","Puerto Vallarta, Jalisco, México",
Tour de tacos y mariscos,tour,4,28/06/2023,"Salimos contentos de Tour de tacos y mariscos. No se sintió apresurado. Además, en general, el tema del servicio sumó muchísimo. Fuimos con niños al atardecer. Con calor fuerte conviene llevar agua y bloqueador. Definitivamente volvería. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Zona Romántica,barrio,2,17/01/2023,"Salí medio decepcionado de Zona Romántica. La experiencia no fue tan agradable a pie. Encima, el tema del tiempo de espera dejó mucho que desear. Fuimos con niños un domingo. En temporada alta imagino que cambia bastante. No sentí que el costo o el tiempo se justificaran. La fama del lugar me hizo esperar bastante más.","Puerto Vallarta, Jalisco, México",
Isla del Río Cuale,parque,4,21/01/2025,"Salimos contentos de Isla del Río Cuale. Nos gustó para hacer una pausa. Además, honestamente, el tema de la atención fue de lo mejor. Fuimos en plan tranquilo al atardecer. Nos movimos a pie sin complicarnos. Vale mucho la pena. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Tour en cuatrimoto,tour,4,22/03/2026,"Salimos contentos de Tour en cuatrimoto. No se sintió apresurado. Además, en general, el tema del servicio superó lo esperado. Fuimos en familia por la mañana. Entre semana se siente mucho más llevadero. Vale mucho la pena. Fue de esas visitas que te dejan buen sabor de boca.","Puerto Vallarta, Jalisco, México",
Los Arcos de Mismaloya,tour,5,04/12/2025,"De lo mejor del viaje fue Los Arcos de Mismaloya. El recorrido estuvo bien armado. Además, en general, el tema de la relación calidad-precio destacó bastante. Fuimos en plan tranquilo por la mañana. Llegamos al atardecer y la luz ayudó muchísimo. Me quedé con ganas de repetir. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Excursión a las cascadas,tour,2,18/01/2025,"No terminé convencido con Excursión a las cascadas. Parecía que nadie coordinaba bien la actividad. Encima, el tema de los precios estuvo por debajo de lo esperado. Fuimos con niños por la mañana. La zona alrededor tiene bastante movimiento. Con varios cambios podría mejorar, pero hoy no lo recomendaría. Me fui con la sensación de que pudo estar mucho mejor.","Puerto Vallarta, Jalisco, México",
Tour de tacos y mariscos,tour,1,16/09/2023,"Salí muy inconforme de Tour de tacos y mariscos. La logística fue mala desdel inicio. Encima, el tema de los precios estuvo por debajo de lo esperado. Fuimos solo al mediodía. Con calor fuerte conviene llevar agua y bloqueador. No sentí que el costo o el tiempo se justificaran. Esperaba una experiencia mucho más cuidada.","Puerto Vallarta, Jalisco, México",
Bar con terraza en el Malecón,bar,5,27/11/2025,"Quedé fascinado con Bar con terraza en el Malecón. Es buen plan para cerrar la noche. Además, la verdad, el tema de la tranquilidad me dejó muy buena impresión. Fuimos con mis papás de noche. Llegamos al atardecer y la luz ayudó muchísimo. Sí regresaría. Todo se sintió bastante cómodo.","Puerto Vallarta, Jalisco, México",
Resort frente a la playa,hotel,5,02/02/2023,"Una gran sorpresa fue Resort frente a la playa. Dormimos muy bien. Además, en general, el tema de la tranquilidad fue de lo mejor. Fuimos solo de noche. Hay buenos puntos para tomar fotos. Lo recomiendo sin problema. Fue de esas visitas que te dejan buen sabor de boca.","Puerto Vallarta, Jalisco, México",
Excursión a las cascadas,tour,1,21/04/2023,"Salí muy inconforme de Excursión a las cascadas. Terminó siendo más cansado que disfrutable. Encima, el tema de la organización necesita mejorar. Fuimos en plan tranquilo entre semana. En temporada alta imagino que cambia bastante. Hay mejores opciones en la zona. Hay mejores alternativas para aprovechar el día.","Puerto Vallarta, Jalisco, México",
Tour a Yelapa,tour,5,06/10/2025,"Volvería sin pensarlo a Tour a Yelapa. No se sintió apresurado. Además, en general, el tema de la relación calidad-precio fue de lo mejor. Fuimos en pareja un domingo. Conviene ir con tiempo y sin prisa. Definitivamente volvería. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Parque Lázaro Cárdenas,parque,4,09/08/2024,"Muy buena experiencia en Parque Lázaro Cárdenas. Nos gustó para hacer una pausa. Además, para mí, el tema de la tranquilidad fue de lo mejor. Fuimos en plan tranquilo un domingo. Llegamos al atardecer y la luz ayudó muchísimo. Definitivamente volvería. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Mercado del mar,mercado,2,16/04/2024,"No terminé convencido con Mercado del mar. La experiencia fue más cansada que entretenida. Encima, el tema del mantenimiento fue lo más flojo. Fuimos con amigos de noche. Nos movimos a pie sin complicarnos. Con varios cambios podría mejorar, pero hoy no lo recomendaría. Me fui con la sensación de que pudo estar mucho mejor.","Puerto Vallarta, Jalisco, México",
Sendero a Boca de Tomatlán,sendero,3,12/10/2024,"La experiencia en Sendero a Boca de Tomatlán fue regular. No fue mala caminata, pero esperaba más. Lo mejor fue la ubicación, pero el tema del ruido necesita mejorar. Fuimos en familia al atardecer. Hay buenos puntos para tomar fotos. No fue espectacular, pero tampoco un desperdicio. Con unos ajustes podría mejorar muchísimo.","Puerto Vallarta, Jalisco, México",
Café del centro,café,4,14/10/2023,"Valió la pena conocer Café del centro. El servicio fue amable. Además, en general, el tema del servicio me dejó muy buena impresión. Fuimos en familia por la mañana. La zona alrededor tiene bastante movimiento. Me quedé con ganas de repetir. Todo se sintió bastante cómodo.","Puerto Vallarta, Jalisco, México",
Tour a Yelapa,tour,5,10/09/2024,"Excelente visita a Tour a Yelapa. La logística salió mejor de lo esperado. Además, la verdad, el tema de la atención destacó bastante. Fuimos con mis papás al atardecer. En temporada alta imagino que cambia bastante. Me quedé con ganas de repetir. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Tour de tacos y mariscos,tour,3,23/04/2023,"La vuelta por Tour de tacos y mariscos fue bastante normal. Hubo partes entretenidas y otras flojas. Lo mejor fue la vista, pero el tema de la organización bajó bastante la experiencia. Fuimos con niños por la mañana. Fuimos temprano y se disfrutó más. Tiene potencial si cuidan algunos detalles. Hay detalles que cambian bastante según la hora.","Puerto Vallarta, Jalisco, México",
Excursión a las cascadas,tour,2,28/09/2025,"Salí medio decepcionado de Excursión a las cascadas. Faltó comunicación clara. Encima, el tema del acceso fue lo más flojo. Fuimos en familia un domingo. El clima nos tocó a favor y eso mejoró todo. Con varios cambios podría mejorar, pero hoy no lo recomendaría. Esperaba una experiencia mucho más cuidada.","Puerto Vallarta, Jalisco, México",
Tour a Yelapa,tour,1,24/01/2025,"Muy mala experiencia en Tour a Yelapa. Faltó comunicación clara. Encima, el tema del ruido necesita mejorar. Fuimos solo al mediodía. La zona alrededor tiene bastante movimiento. Con varios cambios podría mejorar, pero hoy no lo recomendaría. Esperaba una experiencia mucho más cuidada.","Puerto Vallarta, Jalisco, México",
Playa Mismaloya,playa,5,05/06/2023,"Volvería sin pensarlo a Playa Mismaloya. Nos tocó una playa bastante disfrutable. Además, la verdad, el tema de la relación calidad-precio estuvo muy bien. Fuimos solo al atardecer. Conviene ir con tiempo y sin prisa. Definitivamente volvería. Todo se sintió bastante cómodo.","Puerto Vallarta, Jalisco, México",
Restaurante frente al mar en Marina,restaurante,2,07/07/2023,"Restaurante frente al mar en Marina no me terminó de convencer. Salimos inconformes con la experiencia. Encima, el tema de la señalización necesita mejorar. Fuimos con amigos entre semana. Fuimos temprano y se disfrutó más. Yo me lo saltaría la próxima vez. Me fui con la sensación de que pudo estar mucho mejor.","Puerto Vallarta, Jalisco, México",
Isla del Río Cuale,parque,2,07/06/2025,"No terminé convencido con Isla del Río Cuale. No me dio ganas de pasar más tiempo ahí. Encima, el tema de la limpieza estuvo por debajo de lo esperado. Fuimos con mis papás al mediodía. El clima nos tocó a favor y eso mejoró todo. No volvería así como está. Me fui con la sensación de que pudo estar mucho mejor.","Puerto Vallarta, Jalisco, México",
Tour en cuatrimoto,tour,5,16/09/2025,"Me encantó Tour en cuatrimoto. El guía explicó todo con claridad. Además, honestamente, el tema de la ubicación estuvo muy bien. Fuimos en plan tranquilo entre semana. El clima nos tocó a favor y eso mejoró todo. Sí regresaría. Fue de esas visitas que te dejan buen sabor de boca.","Puerto Vallarta, Jalisco, México",
Galería de arte local,galería,5,13/09/2024,"Excelente visita a Galería de arte local. La visita fue tranquila y agradable. Además, honestamente, el tema de la limpieza marcó una diferencia positiva. Fuimos solo entre semana. Nos movimos a pie sin complicarnos. Vale mucho la pena. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Paseo en barco por la bahía,tour,5,12/12/2025,"Me encantó Paseo en barco por la bahía. El guía explicó todo con claridad. Además, la verdad, el tema de la relación calidad-precio superó lo esperado. Fuimos solo un domingo. Con calor fuerte conviene llevar agua y bloqueador. Me quedé con ganas de repetir. Nos quedamos con ganas de volver con más tiempo.","Puerto Vallarta, Jalisco, México",
Plaza de Armas,plaza,2,23/08/2025,"Plaza de Armas no me terminó de convencer. No me resultó tan agradable para quedarse. Encima, el tema del ruido terminó siendo un problema. Fuimos solo por la mañana. En temporada alta imagino que cambia bastante. No volvería así como está. No sentí que el tiempo invertido valiera la pena.","Puerto Vallarta, Jalisco, México",
Plaza de Armas,plaza,4,30/09/2024,"Nos gustó bastante Plaza de Armas. Es agradable para sentarse un rato. Además, honestamente, el tema de la limpieza estuvo muy bien. Fuimos con niños entre semana. La zona alrededor tiene bastante movimiento. Vale mucho la pena. Incluso con gente, se pudo disfrutar bastante.","Puerto Vallarta, Jalisco, México",
Mismaloya,playa,3,08/09/2025,"Ir a Mismaloya cumplió, aunque esperaba un poco más. La vista ayuda bastante, aunque hay detalles mejorables. Lo mejor fue el servicio, pero el tema de la saturación de gente terminó siendo un problema. Fuimos solo un domingo. El clima nos tocó a favor y eso mejoró todo. No me arrepiento de haber ido. Se disfruta más si vas con expectativas realistas.","Puerto Vallarta, Jalisco, México",
Excursión a las cascadas,tour,3,22/03/2025,"La experiencia en Excursión a las cascadas fue regular. La idea del tour es buena, pero le faltan detalles. Lo mejor fue la tranquilidad, pero el tema de la atención dejó mucho que desear. Fuimos con amigos entre semana. El clima nos tocó a favor y eso mejoró todo. Puede gustarte más si eliges bien la hora. No fue perfecto, pero sí tuvo momentos rescatables.","Puerto Vallarta, Jalisco, México",
Playa Camarones,playa,4,28/06/2025,"Nos gustó bastante Playa Camarones. La arena estaba mejor de lo que esperaba. Además, la verdad, el tema de la vista me dejó muy buena impresión. Fuimos con mis papás en vacaciones. Hay buenos puntos para tomar fotos. Sí regresaría. Fue de esas visitas que te dejan buen sabor de boca.","Puerto Vallarta, Jalisco, México",
Tour a Yelapa,tour,2,17/04/2025,"Tour a Yelapa no me terminó de convencer. Terminó siendo más cansado que disfrutable. Encima, el tema del ruido terminó siendo un problema. Fuimos en plan tranquilo al mediodía. El clima nos tocó a favor y eso mejoró todo. Con varios cambios podría mejorar, pero hoy no lo recomendaría. Hay mejores alternativas para aprovechar el día.","Puerto Vallarta, Jalisco, México",
Tour de tacos y mariscos,tour,5,06/04/2024,"Excelente visita a Tour de tacos y mariscos. La logística salió mejor de lo esperado. Además, la verdad, el tema de la organización sumó muchísimo. Fuimos con mis papás al atardecer. Nos movimos a pie sin complicarnos. Lo volvería a incluir en otro viaje. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Restaurante frente al mar en Marina,restaurante,3,29/09/2023,"Mi visita a Restaurante frente al mar en Marina estuvo bien, sin más. Hay platos buenos y otros más normales. Lo mejor fue la experiencia general, pero el tema del acceso estuvo por debajo de lo esperado. Fuimos con amigos de noche. El clima nos tocó a favor y eso mejoró todo. Tiene potencial si cuidan algunos detalles. Con unos ajustes podría mejorar muchísimo.","Puerto Vallarta, Jalisco, México",
Los Arcos de Mismaloya,tour,5,05/10/2023,"De lo mejor del viaje fue Los Arcos de Mismaloya. El recorrido estuvo bien armado. Además, en general, el tema del servicio destacó bastante. Fuimos con amigos en vacaciones. El clima nos tocó a favor y eso mejoró todo. Es una parada muy recomendable. Fue de esas visitas que te dejan buen sabor de boca.","Puerto Vallarta, Jalisco, México",
Playa Gemelas,playa,1,06/11/2024,"Muy mala experiencia en Playa Gemelas. No me tocó la parte más cuidada. Encima, el tema de la señalización fue lo más flojo. Fuimos en pareja un domingo. La zona alrededor tiene bastante movimiento. No volvería así como está. La fama del lugar me hizo esperar bastante más.","Puerto Vallarta, Jalisco, México",
Tour de tacos y mariscos,tour,5,05/12/2024,"Excelente visita a Tour de tacos y mariscos. La actividad estuvo muy bien llevada. Además, honestamente, el tema del servicio marcó una diferencia positiva. Fuimos con niños de noche. Con calor fuerte conviene llevar agua y bloqueador. Definitivamente volvería. Todo se sintió bastante cómodo.","Puerto Vallarta, Jalisco, México",
Tour de tacos y mariscos,tour,5,06/06/2023,"Volvería sin pensarlo a Tour de tacos y mariscos. La logística salió mejor de lo esperado. Además, la verdad, el tema de la atención sumó muchísimo. Fuimos en plan tranquilo un domingo. El clima nos tocó a favor y eso mejoró todo. Vale mucho la pena. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Parroquia de Nuestra Señora de Guadalupe,iglesia,5,09/07/2024,"De lo mejor del viaje fue Parroquia de Nuestra Señora de Guadalupe. La arquitectura llama mucho la atención. Además, para mí, el tema de la organización me dejó muy buena impresión. Fuimos con niños al atardecer. Nos movimos a pie sin complicarnos. Es una parada muy recomendable. Incluso con gente, se pudo disfrutar bastante.","Puerto Vallarta, Jalisco, México",
Excursión a las cascadas,tour,4,28/04/2024,"Salimos contentos de Excursión a las cascadas. No se sintió apresurado. Además, en general, el tema de la organización me dejó muy buena impresión. Fuimos con mis papás al mediodía. El clima nos tocó a favor y eso mejoró todo. Es una parada muy recomendable. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Tour de snorkel en Los Arcos,tour,1,20/11/2024,"No recomiendo para nada Tour de snorkel en Los Arcos. Faltó comunicación clara. Encima, el tema del mantenimiento fue lo más flojo. Fuimos solo al atardecer. Nos movimos a pie sin complicarnos. Hay mejores opciones en la zona. Me fui con la sensación de que pudo estar mucho mejor.","Puerto Vallarta, Jalisco, México",
Mirador de la Cruz,mirador,5,31/10/2025,"Quedé fascinado con Mirador de la Cruz. La subida se compensa con la vista. Además, la verdad, el tema de la relación calidad-precio destacó bastante. Fuimos en familia de noche. En temporada alta imagino que cambia bastante. Sí regresaría. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Mercado Municipal Río Cuale,mercado,5,30/09/2023,"Volvería sin pensarlo a Mercado Municipal Río Cuale. Se encuentran recuerdos bonitos. Además, en general, el tema de la limpieza marcó una diferencia positiva. Fuimos con niños al atardecer. Fuimos temprano y se disfrutó más. Es una parada muy recomendable. Incluso con gente, se pudo disfrutar bastante.","Puerto Vallarta, Jalisco, México",
Playa Camarones,playa,4,28/01/2024,"Buena visita a Playa Camarones. La arena estaba mejor de lo que esperaba. Además, para mí, el tema de la ubicación superó lo esperado. Fuimos solo un domingo. Con calor fuerte conviene llevar agua y bloqueador. Vale mucho la pena. Todo se sintió bastante cómodo.","Puerto Vallarta, Jalisco, México",
Excursión a las cascadas,tour,4,25/11/2024,"Buena visita a Excursión a las cascadas. El guía explicó todo con claridad. Además, honestamente, el tema de la ubicación fue de lo mejor. Fuimos en plan tranquilo un domingo. Hay buenos puntos para tomar fotos. Lo recomiendo sin problema. Se nota cuando un lugar está bien llevado.","Puerto Vallarta, Jalisco, México",
Tour a Yelapa,tour,3,23/08/2024,"La experiencia en Tour a Yelapa fue regular. Se disfruta, aunque el ritmo pudo ser mejor. Lo mejor fue el servicio, pero el tema del tiempo de espera bajó bastante la experiencia. Fuimos en familia un domingo. Con calor fuerte conviene llevar agua y bloqueador. Puede gustarte más si eliges bien la hora. No fue perfecto, pero sí tuvo momentos rescatables.","Puerto Vallarta, Jalisco, México",
Paseo por Marina al atardecer,paseo,2,11/10/2025,"La visita a Paseo por Marina al atardecer me dejó dudas. La experiencia terminó siendo más pesada que entretenida. Encima, el tema de los precios dejó mucho que desear. Fuimos con amigos por la mañana. La zona alrededor tiene bastante movimiento. Hay mejores opciones en la zona. No sentí que el tiempo invertido valiera la pena.","Puerto Vallarta, Jalisco, México",
